year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI
1950,adams,Adams,1,0,0,29.5,0.0,0.0,0.0,0.0,0.0033898305084745766
1950,alfa-romeo,Alfa Romeo,6,6,11,6.954545454545454,89.0,1.0,1.8333333333333333,14.833333333333334,0.9729376435258789
1950,alta,Alta,2,0,0,13.333333333333334,0.0,0.0,0.0,0.0,0.0075
1950,cooper,Cooper,1,0,0,15.0,0.0,0.0,0.0,0.0,0.006666666666666667
1950,deidt,Deidt,1,0,2,13.0,10.0,0.0,2.0,10.0,0.5752598752598752
1950,era,ERA,3,0,0,14.125,0.0,0.0,0.0,0.0,0.007079646017699115
1950,ewing,Ewing,1,0,0,18.0,0.0,0.0,0.0,0.0,0.005555555555555556
1950,ferrari,Ferrari,5,0,4,9.8,21.0,0.0,0.8,4.2,0.23858246001103145
1950,kurtis-kraft,Kurtis Kraft,1,1,1,17.133333333333333,14.0,1.0,1.0,14.0,0.750431170470081
1950,langley,Langley,1,0,0,17.0,0.0,0.0,0.0,0.0,0.0058823529411764705
1950,lesovsky,Lesovsky,1,0,0,12.5,0.0,0.0,0.0,0.0,0.008
1950,marchese,Marchese,1,0,0,12.0,0.0,0.0,0.0,0.0,0.008333333333333333
1950,maserati,Maserati,7,0,1,14.972972972972974,11.0,0.0,0.14285714285714285,1.5714285714285714,0.05301074669305716
1950,moore,Moore,1,0,0,7.0,0.0,0.0,0.0,0.0,0.014285714285714285
1950,nichels,Nichels,1,0,0,10.0,0.0,0.0,0.0,0.0,0.010000000000000002
1950,olson,Olson,1,0,0,24.0,0.0,0.0,0.0,0.0,0.004166666666666667
1950,rae,Rae,1,0,0,23.0,0.0,0.0,0.0,0.0,0.004347826086956522
1950,simca-gordini,Simca-Gordini,3,0,0,17.0,3.0,0.0,0.0,1.0,0.012639109697933228
1950,snowberger,Snowberger,1,0,0,28.0,0.0,0.0,0.0,0.0,0.0035714285714285713
1950,stevens,Stevens,1,0,0,13.0,0.0,0.0,0.0,0.0,0.007692307692307693
1950,talbot-lago,Talbot-Lago,6,0,2,10.947368421052632,20.0,0.0,0.3333333333333333,3.3333333333333335,0.11499047124047124
1950,watson,Watson,1,0,0,35.0,0.0,0.0,0.0,0.0,0.002857142857142857
1950,wetteroth,Wetteroth,1,0,0,25.0,0.0,0.0,0.0,0.0,0.004
1951,alfa-romeo,Alfa Romeo,7,4,10,7.6,75.0,0.5714285714285714,1.4285714285714286,10.714285714285714,0.6712660028449503
1951,alta,Alta,1,0,0,15.0,0.0,0.0,0.0,0.0,0.006666666666666667
1951,brm,BRM,2,0,0,16.4,2.0,0.0,0.0,1.0,0.012854317732366515
1951,bromme,Bromme,1,0,0,28.0,0.0,0.0,0.0,0.0,0.0035714285714285713
1951,deidt,Deidt,1,0,0,16.5,0.0,0.0,0.0,0.0,0.0060606060606060615
1951,era,ERA,1,0,0,9.5,0.0,0.0,0.0,0.0,0.010526315789473684
1951,ferrari,Ferrari,7,3,11,8.617647058823529,86.0,0.42857142857142855,1.5714285714285714,12.285714285714286,0.6589013928604373
1951,hall,Hall,1,0,0,20.0,0.0,0.0,0.0,0.0,0.005000000000000001
1951,hwm,HWM,1,0,0,12.5,0.0,0.0,0.0,0.0,0.008
1951,kurtis-kraft,Kurtis Kraft,1,1,3,15.058823529411764,19.0,1.0,3.0,19.0,1.2850190033783782
1951,kuzma,Kuzma,1,0,0,16.0,0.0,0.0,0.0,0.0,0.00625
1951,lesovsky,Lesovsky,1,0,0,31.0,0.0,0.0,0.0,0.0,0.0032258064516129032
1951,marchese,Marchese,1,0,0,21.0,0.0,0.0,0.0,0.0,0.004761904761904762
1951,maserati,Maserati,6,0,0,19.266666666666666,0.0,0.0,0.0,0.0,0.005190311418685122
1951,moore,Moore,1,0,0,7.0,0.0,0.0,0.0,0.0,0.014285714285714285
1951,osca,O.S.C.A.,1,0,0,10.0,0.0,0.0,0.0,0.0,0.010000000000000002
1951,pawl,Pawl,1,0,0,17.0,0.0,0.0,0.0,0.0,0.0058823529411764705
1951,schroeder,Schroeder,1,0,0,15.5,2.0,0.0,0.0,2.0,0.01996512641673932
1951,sherman,Sherman,1,0,0,5.0,3.0,0.0,0.0,3.0,0.040270270270270275
1951,simca-gordini,Simca-Gordini,4,0,0,14.461538461538462,0.0,0.0,0.0,0.0,0.006914893617021277
1951,talbot-lago,Talbot-Lago,7,0,0,12.377777777777778,5.0,0.0,0.0,0.7142857142857143,0.012905249440258417
1951,trevis,Trevis,1,0,0,30.0,0.0,0.0,0.0,0.0,0.0033333333333333335
1951,veritas,Veritas,1,0,0,21.0,0.0,0.0,0.0,0.0,0.004761904761904762
1951,watson,Watson,1,0,0,34.0,0.0,0.0,0.0,0.0,0.0029411764705882353
1952,afm,AFM,2,0,0,21.2,0.0,0.0,0.0,0.0,0.004716981132075472
1952,alta,Alta,2,0,0,15.0,0.0,0.0,0.0,0.0,0.006666666666666667
1952,aston-butterworth,Aston Butterworth,4,0,0,25.25,0.0,0.0,0.0,0.0,0.0039603960396039604
1952,balsa,Balsa,1,0,0,16.0,0.0,0.0,0.0,0.0,0.00625
1952,bromme,Bromme,1,0,0,22.0,0.0,0.0,0.0,0.0,0.004545454545454546
1952,cisitalia,Cisitalia,1,0,0,35.0,0.0,0.0,0.0,0.0,0.002857142857142857
1952,connaught,Connaught,3,0,0,12.25,5.0,0.0,0.0,1.6666666666666667,0.01942452656738371
1952,cooper,Cooper,6,0,1,11.6875,12.0,0.0,0.16666666666666666,2.0,0.0637363299128005
1952,deidt,Deidt,1,0,0,24.0,0.0,0.0,0.0,0.0,0.004166666666666667
1952,era,ERA,3,0,0,19.666666666666668,0.0,0.0,0.0,0.0,0.005084745762711864
1952,ferrari,Ferrari,8,7,17,11.137254901960784,120.5,0.875,2.125,15.0625,0.9920025218880854
1952,frazer-nash,Frazer-Nash,4,0,0,13.75,3.0,0.0,0.0,0.75,0.01234029484029484
1952,gordini,Gordini,7,0,2,12.521739130434783,17.0,0.0,0.2857142857142857,2.4285714285714284,0.09582394894894894
1952,heck,Heck,1,0,0,12.0,0.0,0.0,0.0,0.0,0.008333333333333333
1952,hwm,HWM,7,0,0,17.03846153846154,2.0,0.0,0.0,0.2857142857142857,0.0077995764226012525
1952,krakau,Krakau,1,0,0,33.0,0.0,0.0,0.0,0.0,0.0030303030303030307
1952,kurtis-kraft,Kurtis Kraft,1,0,2,16.714285714285715,13.0,0.0,2.0,13.0,0.5938207438207438
1952,kuzma,Kuzma,1,1,1,1.0,8.0,1.0,1.0,8.0,0.8040540540540541
1952,lesovsky,Lesovsky,1,0,0,14.333333333333334,3.0,0.0,0.0,3.0,0.027247014456316783
1952,maserati,Maserati,6,0,1,16.6,8.5,0.0,0.16666666666666666,1.4166666666666667,0.0572628351242809
1952,nacke,Nacke,1,0,0,18.0,0.0,0.0,0.0,0.0,0.005555555555555556
1952,osca,O.S.C.A.,1,0,0,24.0,0.0,0.0,0.0,0.0,0.004166666666666667
1952,reif,Reif,1,0,0,20.0,0.0,0.0,0.0,0.0,0.005000000000000001
1952,sherman,Sherman,1,0,0,15.0,0.0,0.0,0.0,0.0,0.006666666666666667
1952,simca-gordini,Simca-Gordini,6,0,0,20.0,0.0,0.0,0.0,0.0,0.005000000000000001
1952,stevens,Stevens,1,0,0,23.0,0.0,0.0,0.0,0.0,0.004347826086956522
1952,trevis,Trevis,1,0,0,16.0,0.0,0.0,0.0,0.0,0.00625
1952,veritas,Veritas,3,0,0,16.77777777777778,0.0,0.0,0.0,0.0,0.005960264900662252
1952,watson,Watson,1,0,0,12.0,0.0,0.0,0.0,0.0,0.008333333333333333
1953,afm,AFM,2,0,0,27.5,0.0,0.0,0.0,0.0,0.0036363636363636364
1953,bromme,Bromme,1,0,0,45.0,0.0,0.0,0.0,0.0,0.0022222222222222222
1953,connaught,Connaught,6,0,0,19.333333333333332,0.0,0.0,0.0,0.0,0.005172413793103449
1953,cooper,Cooper,7,0,0,15.761904761904763,0.0,0.0,0.0,0.0,0.006344410876132931
1953,del-roy,Del Roy,1,0,0,46.0,0.0,0.0,0.0,0.0,0.002173913043478261
1953,emw,EMW,1,0,0,23.0,0.0,0.0,0.0,0.0,0.004347826086956522
1953,ferrari,Ferrari,8,7,16,8.98,122.5,0.875,2.0,15.3125,0.9645986952988624
1953,gordini,Gordini,8,0,0,15.620689655172415,4.0,0.0,0.0,0.5,0.009780144382793388
1953,greifzu,Greifzu,1,0,0,15.0,0.0,0.0,0.0,0.0,0.006666666666666667
1953,heck,Heck,1,0,0,16.0,0.0,0.0,0.0,0.0,0.00625
1953,hwm,HWM,6,0,0,17.833333333333332,0.0,0.0,0.0,0.0,0.00560747663551402
1953,kurtis-kraft,Kurtis Kraft,1,1,3,21.636363636363637,24.0,1.0,3.0,24.0,1.316784010901658
1953,kuzma,Kuzma,1,0,0,22.166666666666668,0.0,0.0,0.0,0.0,0.004511278195488722
1953,lesovsky,Lesovsky,1,0,0,38.0,0.0,0.0,0.0,0.0,0.002631578947368421
1953,maserati,Maserati,8,1,8,10.133333333333333,65.5,0.125,1.0,8.1875,0.3651893669985775
1953,osca,O.S.C.A.,4,0,0,21.285714285714285,0.0,0.0,0.0,0.0,0.0046979865771812086
1953,schroeder,Schroeder,1,0,0,20.0,0.0,0.0,0.0,0.0,0.005000000000000001
1953,simca-gordini,Simca-Gordini,2,0,0,18.0,0.0,0.0,0.0,0.0,0.005555555555555556
1953,stevens,Stevens,1,0,0,29.0,0.0,0.0,0.0,0.0,0.0034482758620689655
1953,turner,Turner,1,0,0,33.0,0.0,0.0,0.0,0.0,0.0030303030303030307
1953,veritas,Veritas,2,0,0,22.375,0.0,0.0,0.0,0.0,0.00446927374301676
1953,watson,Watson,1,0,0,41.0,0.0,0.0,0.0,0.0,0.002439024390243903
1954,bromme,Bromme,1,0,0,50.5,0.0,0.0,0.0,0.0,0.0019801980198019802
1954,connaught,Connaught,1,0,0,15.8,0.0,0.0,0.0,0.0,0.006329113924050632
1954,cooper,Cooper,1,0,0,25.666666666666668,0.0,0.0,0.0,0.0,0.003896103896103896
1954,ferrari,Ferrari,8,2,12,10.063829787234043,80.28,0.25,1.5,10.035,0.5527406291069081
1954,gordini,Gordini,8,0,0,14.12,4.14,0.0,0.0,0.5175,0.01057877459612587
1954,hwm,HWM,1,0,0,17.0,0.0,0.0,0.0,0.0,0.0058823529411764705
1954,klenk,Klenk,1,0,0,15.0,0.0,0.0,0.0,0.0,0.006666666666666667
1954,kurtis-kraft,Kurtis Kraft,1,1,2,25.37142857142857,18.0,1.0,2.0,18.0,1.0255630630630632
1954,kuzma,Kuzma,1,0,1,14.75,6.0,0.0,1.0,6.0,0.2973202015574897
1954,lancia,Lancia,1,0,0,20.5,1.0,0.0,0.0,1.0,0.011634805537244563
1954,maserati,Maserati,8,2,5,12.119402985074627,46.42,0.25,0.625,5.8025,0.3037073126081747
1954,mercedes,Mercedes,6,4,7,6.555555555555555,60.14,0.6666666666666666,1.1666666666666667,10.023333333333333,0.6413127958466942
1954,nichels,Nichels,1,0,0,41.0,0.0,0.0,0.0,0.0,0.002439024390243903
1954,pankratz,Pankratz,1,0,0,27.0,0.0,0.0,0.0,0.0,0.003703703703703704
1954,pawl,Pawl,1,0,0,36.5,0.0,0.0,0.0,0.0,0.0027397260273972603
