year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI
1950,adams,Adams,1,0,0,29.5,0.0,0.0,0.0,0.0,0.0
1950,alfa-romeo,Alfa Romeo,6,6,11,6.954545454545454,1.0,1.0,0.9166666666666666,14.833333333333334,0.9791666666666666
1950,alta,Alta,2,0,0,13.333333333333334,0.0,0.0,0.0,0.0,0.0
1950,cooper,Cooper,1,0,0,15.0,0.0,0.0,0.0,0.0,0.0
1950,deidt,Deidt,1,0,2,13.0,0.11235955056179775,0.0,1.0,10.0,0.2949438202247191
1950,era,ERA,3,0,0,14.125,0.0,0.0,0.0,0.0,0.0
1950,ewing,Ewing,1,0,0,18.0,0.0,0.0,0.0,0.0,0.0
1950,ferrari,Ferrari,5,0,4,9.8,0.23595505617977527,0.0,0.4,4.2,0.1943820224719101
1950,kurtis-kraft,Kurtis Kraft,1,1,1,17.133333333333333,0.15730337078651685,1.0,0.5,14.0,0.5379213483146067
1950,langley,Langley,1,0,0,17.0,0.0,0.0,0.0,0.0,0.0
1950,lesovsky,Lesovsky,1,0,0,12.5,0.0,0.0,0.0,0.0,0.0
1950,marchese,Marchese,1,0,0,12.0,0.0,0.0,0.0,0.0,0.0
1950,maserati,Maserati,7,0,1,14.972972972972974,0.12359550561797752,0.0,0.0714285714285714,1.5714285714285714,0.06729534510433385
1950,moore,Moore,1,0,0,7.0,0.0,0.0,0.0,0.0,0.0
1950,nichels,Nichels,1,0,0,10.0,0.0,0.0,0.0,0.0,0.0
1950,olson,Olson,1,0,0,24.0,0.0,0.0,0.0,0.0,0.0
1950,rae,Rae,1,0,0,23.0,0.0,0.0,0.0,0.0,0.0
1950,simca-gordini,Simca-Gordini,3,0,0,17.0,0.033707865168539325,0.0,0.0,1.0,0.01348314606741573
1950,snowberger,Snowberger,1,0,0,28.0,0.0,0.0,0.0,0.0,0.0
1950,stevens,Stevens,1,0,0,13.0,0.0,0.0,0.0,0.0,0.0
1950,talbot-lago,Talbot-Lago,6,0,2,10.947368421052632,0.2247191011235955,0.0,0.16666666666666666,3.333333333333333,0.13155430711610486
1950,watson,Watson,1,0,0,35.0,0.0,0.0,0.0,0.0,0.0
1950,wetteroth,Wetteroth,1,0,0,25.0,0.0,0.0,0.0,0.0,0.0
1951,alfa-romeo,Alfa Romeo,7,4,10,7.6,0.872093023255814,0.5714285714285714,0.4761904761904762,10.714285714285714,0.6678848283499446
1951,alta,Alta,1,0,0,15.0,0.0,0.0,0.0,0.0,0.0
1951,brm,BRM,2,0,0,16.4,0.023255813953488372,0.0,0.0,1.0,0.009302325581395349
1951,bromme,Bromme,1,0,0,28.0,0.0,0.0,0.0,0.0,0.0
1951,deidt,Deidt,1,0,0,16.5,0.0,0.0,0.0,0.0,0.0
1951,era,ERA,1,0,0,9.5,0.0,0.0,0.0,0.0,0.0
1951,ferrari,Ferrari,7,3,11,8.617647058823529,1.0,0.4285714285714285,0.5238095238095238,12.285714285714286,0.680952380952381
1951,hall,Hall,1,0,0,20.0,0.0,0.0,0.0,0.0,0.0
1951,hwm,HWM,1,0,0,12.5,0.0,0.0,0.0,0.0,0.0
1951,kurtis-kraft,Kurtis Kraft,1,1,3,15.058823529411764,0.22093023255813954,1.0,1.0,19.0,0.6883720930232557
1951,kuzma,Kuzma,1,0,0,16.0,0.0,0.0,0.0,0.0,0.0
1951,lesovsky,Lesovsky,1,0,0,31.0,0.0,0.0,0.0,0.0,0.0
1951,marchese,Marchese,1,0,0,21.0,0.0,0.0,0.0,0.0,0.0
1951,maserati,Maserati,6,0,0,19.266666666666666,0.0,0.0,0.0,0.0,0.0
1951,moore,Moore,1,0,0,7.0,0.0,0.0,0.0,0.0,0.0
1951,osca,O.S.C.A.,1,0,0,10.0,0.0,0.0,0.0,0.0,0.0
1951,pawl,Pawl,1,0,0,17.0,0.0,0.0,0.0,0.0,0.0
1951,schroeder,Schroeder,1,0,0,15.5,0.023255813953488372,0.0,0.0,2.0,0.009302325581395349
1951,sherman,Sherman,1,0,0,5.0,0.03488372093023256,0.0,0.0,3.0,0.013953488372093023
1951,simca-gordini,Simca-Gordini,4,0,0,14.461538461538462,0.0,0.0,0.0,0.0,0.0
1951,talbot-lago,Talbot-Lago,7,0,0,12.377777777777778,0.05813953488372093,0.0,0.0,0.7142857142857143,0.023255813953488372
1951,trevis,Trevis,1,0,0,30.0,0.0,0.0,0.0,0.0,0.0
1951,veritas,Veritas,1,0,0,21.0,0.0,0.0,0.0,0.0,0.0
1951,watson,Watson,1,0,0,34.0,0.0,0.0,0.0,0.0,0.0
1952,afm,AFM,2,0,0,21.2,0.0,0.0,0.0,0.0,0.0
1952,alta,Alta,2,0,0,15.0,0.0,0.0,0.0,0.0,0.0
1952,aston-butterworth,Aston Butterworth,4,0,0,25.25,0.0,0.0,0.0,0.0,0.0
1952,balsa,Balsa,1,0,0,16.0,0.0,0.0,0.0,0.0,0.0
1952,bromme,Bromme,1,0,0,22.0,0.0,0.0,0.0,0.0,0.0
1952,cisitalia,Cisitalia,1,0,0,35.0,0.0,0.0,0.0,0.0,0.0
1952,connaught,Connaught,3,0,0,12.25,0.04149377593360996,0.0,0.0,1.6666666666666667,0.016597510373443983
1952,cooper,Cooper,6,0,1,11.6875,0.0995850622406639,0.0,0.07843137254901958,2.0,0.05944186803352045
1952,deidt,Deidt,1,0,0,24.0,0.0,0.0,0.0,0.0,0.0
1952,era,ERA,3,0,0,19.666666666666668,0.0,0.0,0.0,0.0,0.0
1952,ferrari,Ferrari,8,7,17,11.137254901960784,1.0,0.875,1.0,15.0625,0.9562499999999999
1952,frazer-nash,Frazer-Nash,4,0,0,13.75,0.024896265560165973,0.0,0.0,0.75,0.00995850622406639
1952,gordini,Gordini,7,0,2,12.521739130434783,0.14107883817427386,0.0,0.13445378151260504,2.4285714285714284,0.0900449806478608
1952,heck,Heck,1,0,0,12.0,0.0,0.0,0.0,0.0,0.0
1952,hwm,HWM,7,0,0,17.03846153846154,0.016597510373443983,0.0,0.0,0.2857142857142857,0.006639004149377594
1952,krakau,Krakau,1,0,0,33.0,0.0,0.0,0.0,0.0,0.0
1952,kurtis-kraft,Kurtis Kraft,1,0,2,16.714285714285715,0.1078838174273859,0.0,0.9411764705882353,13.0,0.2784476446180132
1952,kuzma,Kuzma,1,1,1,1.0,0.06639004149377593,1.0,0.47058823529411764,8.0,0.4942030754210398
1952,lesovsky,Lesovsky,1,0,0,14.333333333333334,0.024896265560165973,0.0,0.0,3.0,0.00995850622406639
1952,maserati,Maserati,6,0,1,16.6,0.07053941908713693,0.0,0.07843137254901958,1.4166666666666667,0.04782361077210967
1952,nacke,Nacke,1,0,0,18.0,0.0,0.0,0.0,0.0,0.0
1952,osca,O.S.C.A.,1,0,0,24.0,0.0,0.0,0.0,0.0,0.0
1952,reif,Reif,1,0,0,20.0,0.0,0.0,0.0,0.0,0.0
1952,sherman,Sherman,1,0,0,15.0,0.0,0.0,0.0,0.0,0.0
1952,simca-gordini,Simca-Gordini,6,0,0,20.0,0.0,0.0,0.0,0.0,0.0
1952,stevens,Stevens,1,0,0,23.0,0.0,0.0,0.0,0.0,0.0
1952,trevis,Trevis,1,0,0,16.0,0.0,0.0,0.0,0.0,0.0
1952,veritas,Veritas,3,0,0,16.77777777777778,0.0,0.0,0.0,0.0,0.0
1952,watson,Watson,1,0,0,12.0,0.0,0.0,0.0,0.0,0.0
1953,afm,AFM,2,0,0,27.5,0.0,0.0,0.0,0.0,0.0
1953,bromme,Bromme,1,0,0,45.0,0.0,0.0,0.0,0.0,0.0
1953,connaught,Connaught,6,0,0,19.33333333333333,0.0,0.0,0.0,0.0,0.0
1953,cooper,Cooper,7,0,0,15.761904761904765,0.0,0.0,0.0,0.0,0.0
1953,del-roy,Del Roy,1,0,0,46.0,0.0,0.0,0.0,0.0,0.0
1953,emw,EMW,1,0,0,23.0,0.0,0.0,0.0,0.0,0.0
