year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI,inv_avg_finish,TDI_normalized,TDI_rank,poles,one_two_finishes,max_possible_points,points_eff,win_rate_alt,pole_rate,one_two_rate,TDI_alt,TDI_og_pct
1950,alfa-romeo,Alfa Romeo,6,6,11,6.954545454545454,1.0,1.0,0.9166666666666666,14.833333333333334,0.908509600960096,0.8622862286228623,1.0,1.0,0,0,150,0.006666666666666667,1.0,0.0,0.0,30.266666666666666,90.8509600960096
1950,kurtis-kraft,Kurtis Kraft,1,1,1,17.133333333333333,0.1573033707865168,1.0,0.5,14.0,0.6055695850483924,0.6607260726072608,0.6487529804334644,2.0,0,0,25,0.006292134831460672,1.0,0.0,0.0,30.251685393258427,60.556958504839244
1950,deidt,Deidt,1,0,2,13.0,0.1123595505617977,0.0,1.0,10.0,0.3838580487262209,0.7425742574257426,0.3916871844133756,3.0,0,0,25,0.004494382022471908,0.0,0.0,0.0,0.17977528089887632,38.385804872622096
1950,ferrari,Ferrari,5,0,4,9.8,0.2359550561797752,0.0,0.4,4.2,0.2680821003448659,0.805940594059406,0.257449531180094,4.0,0,0,125,0.0018876404494382016,0.0,0.0,0.0,0.07550561797752807,26.808210034486592
1950,talbot-lago,Talbot-Lago,6,0,2,10.947368421052632,0.2247191011235955,0.0,0.1666666666666666,3.333333333333333,0.204093550987269,0.7832204273058885,0.1832573278800421,5.0,0,0,150,0.00149812734082397,0.0,0.0,0.0,0.0599250936329588,20.4093550987269
1950,maserati,Maserati,7,0,1,14.972972972972974,0.1235955056179775,0.0,0.0714285714285714,1.5714285714285714,0.1481020668332938,0.7035054856837035,0.1183374067827815,6.0,0,0,175,0.0007062600321027286,0.0,0.0,0.0,0.028250401284109147,14.81020668332938
1950,moore,Moore,1,0,0,7.0,0.0,0.0,0.0,0.0,0.1292079207920792,0.8613861386138614,0.0964303884436598,7.0,0,0,25,0.0,0.0,0.0,0.0,0.0,12.92079207920792
1950,nichels,Nichels,1,0,0,10.0,0.0,0.0,0.0,0.0,0.1202970297029702,0.801980198019802,0.0860985611104105,8.0,0,0,25,0.0,0.0,0.0,0.0,0.0,12.02970297029702
1950,marchese,Marchese,1,0,0,12.0,0.0,0.0,0.0,0.0,0.1143564356435643,0.7623762376237624,0.0792106762215776,9.0,0,0,25,0.0,0.0,0.0,0.0,0.0,11.43564356435643
1950,lesovsky,Lesovsky,1,0,0,12.5,0.0,0.0,0.0,0.0,0.1128712871287128,0.7524752475247525,0.0774887049993694,10.0,0,0,25,0.0,0.0,0.0,0.0,0.0,11.287128712871281
1950,stevens,Stevens,1,0,0,13.0,0.0,0.0,0.0,0.0,0.1113861386138613,0.7425742574257426,0.0757667337771612,11.0,0,0,25,0.0,0.0,0.0,0.0,0.0,11.13861386138613
