year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI,total_races,points_share,one_two_rate
1950,adams,Adams,1,0,0,29.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1950,alfa-romeo,Alfa Romeo,6,6,11,6.954545454545454,1.0,1.0,0.9166666666666666,0.16666666666666666,0.9791666666666666,6,0.5297619047619049,0.0
1950,alta,Alta,2,0,0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1950,cooper,Cooper,1,0,0,15.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1950,deidt,Deidt,1,0,2,13.0,0.1123595505617977,0.0,1.0,0.1123595505617977,0.2949438202247191,1,0.0595238095238095,0.0
1950,era,ERA,3,0,0,14.125,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
1950,ewing,Ewing,1,0,0,18.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1950,ferrari,Ferrari,5,0,4,9.8,0.2359550561797752,0.0,0.4,0.04719101123595504,0.1943820224719101,5,0.12499999999999997,0.0
1950,kurtis-kraft,Kurtis Kraft,1,1,1,17.133333333333333,0.1573033707865168,1.0,0.5,0.1573033707865168,0.5379213483146067,1,0.08333333333333331,0.0
1950,langley,Langley,1,0,0,17.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1950,lesovsky,Lesovsky,1,0,0,12.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1950,marchese,Marchese,1,0,0,12.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1950,maserati,Maserati,7,0,1,14.972972972972974,0.1235955056179775,0.0,0.0714285714285714,0.017656500802568215,0.0672953451043338,7,0.06547619047619047,0.0
1950,moore,Moore,1,0,0,7.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1950,nichels,Nichels,1,0,0,10.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1950,olson,Olson,1,0,0,24.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1950,rae,Rae,1,0,0,23.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1950,simca-gordini,Simca-Gordini,3,0,0,17.0,0.0337078651685393,0.0,0.0,0.011235955056179766,0.0134831460674157,3,0.017857142857142846,0.0
1950,snowberger,Snowberger,1,0,0,28.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1950,stevens,Stevens,1,0,0,13.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1950,talbot-lago,Talbot-Lago,6,0,2,10.947368421052632,0.2247191011235955,0.0,0.1666666666666666,0.03745318352059925,0.1315543071161048,6,0.11904761904761905,0.0
1950,watson,Watson,1,0,0,35.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1950,wetteroth,Wetteroth,1,0,0,25.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1951,alfa-romeo,Alfa Romeo,7,4,10,7.6,0.872093023255814,0.5714285714285714,0.4761904761904762,0.12458471760797342,0.6678848283499446,7,0.39062500000000006,0.0
1951,alta,Alta,1,0,0,15.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1951,brm,BRM,2,0,0,16.4,0.0232558139534883,0.0,0.0,0.01162790697674415,0.0093023255813953,2,0.010416666666666637,0.0
1951,bromme,Bromme,1,0,0,28.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1951,deidt,Deidt,1,0,0,16.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1951,era,ERA,1,0,0,9.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1951,ferrari,Ferrari,7,3,11,8.617647058823529,1.0,0.4285714285714285,0.5238095238095238,0.14285714285714285,0.680952380952381,7,0.44791666666666674,0.0
1951,hall,Hall,1,0,0,20.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1951,hwm,HWM,1,0,0,12.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1951,kurtis-kraft,Kurtis Kraft,1,1,3,15.058823529411764,0.2209302325581395,1.0,1.0,0.2209302325581395,0.6883720930232557,1,0.09895833333333334,0.0
1951,kuzma,Kuzma,1,0,0,16.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1951,lesovsky,Lesovsky,1,0,0,31.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1951,marchese,Marchese,1,0,0,21.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1951,maserati,Maserati,6,0,0,19.266666666666666,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0
1951,moore,Moore,1,0,0,7.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1951,osca,O.S.C.A.,1,0,0,10.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
